Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-04-28,86.164,86.316,84.337,84.499,5145400,0.0,0.0
2020-04-29,85.64,86.963,83.576,83.804,9461400,0.0,0.0
2020-04-30,82.786,83.737,82.319,82.957,9371400,0.0,0.0
2020-05-01,81.52,81.939,80.702,81.396,6151200,0.0,0.0
2020-05-04,80.578,81.644,80.226,81.596,6348900,0.0,0.0
2020-05-05,82.348,84.242,81.863,82.976,6321500,0.0,0.0
2020-05-06,83.785,84.394,83.195,84.156,7342300,0.0,0.0
2020-05-07,85.069,85.869,84.099,84.27,4565900,0.0,0.0
2020-05-08,85.745,86.249,85.25,86.078,5488000,0.0,0.0
2020-05-11,85.117,86.992,84.822,86.525,4937600,0.0,0.0
2020-05-12,87.096,87.229,83.88,83.985,5622600,0.0,0.0
2020-05-13,83.147,83.49,81.073,81.853,6739800,0.0,0.0
2020-05-14,80.883,82.386,80.036,82.358,7431800,0.0,0.0
2020-05-15,81.12,83.005,80.768,82.776,9165000,0.0,0.0
2020-05-18,86.107,87.163,85.526,86.63,8517200,0.0,0.0
2020-05-19,86.449,89.275,86.421,87.077,6514100,0.0,0.0
2020-05-20,88.685,89.313,88.21,88.447,6347000,0.0,0.0
2020-05-21,88.381,89.808,87.896,89.694,7504300,0.0,0.0
2020-05-22,89.846,90.065,88.828,89.209,4049500,0.0,0.0
2020-05-26,91.331,92.71,90.665,91.94,7185200,0.0,0.0
2020-05-27,93.367,95.146,92.891,95.032,7915900,0.0,0.0
2020-05-28,95.242,95.813,93.491,93.691,7260700,0.0,0.0
2020-05-29,93.667,94.678,92.465,94.039,10332500,0.245,0.0
2020-06-01,93.867,95.184,93.381,94.955,4295400,0.0,0.0
2020-06-02,94.84,96.233,94.268,96.099,10798700,0.0,0.0
2020-06-03,96.595,99.734,96.462,99.314,5867700,0.0,0.0
2020-06-04,98.885,99.114,95.842,96.614,8775000,0.0,0.0
2020-06-05,99.209,99.867,97.425,97.979,8363600,0.0,0.0
2020-06-08,98.303,99.495,97.979,99.486,6165400,0.0,0.0
2020-06-09,98.083,98.99,97.711,97.902,5385900,0.0,0.0
2020-06-10,98.255,98.398,97.025,97.416,5194200,0.0,0.0
2020-06-11,93.848,94.43,90.509,90.786,10976900,0.0,0.0
2020-06-12,93.295,93.295,90.376,91.988,7416400,0.0,0.0
2020-06-15,89.574,93.562,89.136,93.333,8645300,0.0,0.0
2020-06-16,96.586,96.672,93.218,94.478,6054400,0.0,0.0
2020-06-17,94.439,95.622,94.335,94.64,3405500,0.0,0.0
2020-06-18,94.144,94.84,93.342,93.915,4392400,0.0,0.0
2020-06-19,95.365,95.374,91.368,91.368,10304000,0.0,0.0
2020-06-22,92.388,94.955,91.597,94.926,6918200,0.0,0.0
2020-06-23,96.49,97.511,96.071,97.225,6499000,0.0,0.0
2020-06-24,96.29,97.158,93.571,95.47,8611600,0.0,0.0
2020-06-25,94.659,96.996,94.249,96.729,11531400,0.0,0.0
2020-06-26,93.962,94.23,89.26,89.355,24918500,0.0,0.0
2020-06-29,89.384,91.578,89.384,91.454,9624200,0.0,0.0
2020-06-30,91.578,93.772,91.234,93.533,9065500,0.0,0.0
2020-07-01,93.962,94.172,92.636,92.913,5733800,0.0,0.0
2020-07-02,94.23,95.069,93.505,93.896,5354900,0.0,0.0
2020-07-06,95.031,95.422,94.478,95.346,4995000,0.0,0.0
2020-07-07,94.649,94.964,92.455,92.598,6352900,0.0,0.0
2020-07-08,93.009,94.42,92.493,94.287,5634600,0.0,0.0
2020-07-09,94.01,94.354,91.931,92.522,6282300,0.0,0.0
2020-07-10,92.532,93.533,91.311,93.476,3967000,0.0,0.0
2020-07-13,93.724,94.382,91.826,92.016,4845600,0.0,0.0
2020-07-14,91.892,92.77,91.11,92.303,4850600,0.0,0.0
2020-07-15,93.877,94.478,92.827,94.001,5343700,0.0,0.0
2020-07-16,93.009,93.705,92.57,92.78,3594700,0.0,0.0
2020-07-17,92.484,92.751,91.616,91.845,7405700,0.0,0.0
2020-07-20,91.101,91.912,90.729,91.244,5822300,0.0,0.0
2020-07-21,92.455,94.439,91.673,93.829,5855600,0.0,0.0
2020-07-22,93.638,94.43,93.4,94.354,4097000,0.0,0.0
2020-07-23,93.819,95.565,93.218,93.772,4530500,0.0,0.0
2020-07-24,93.619,94.783,93.199,93.896,5638400,0.0,0.0
2020-07-27,92.493,93.867,92.427,92.732,4273400,0.0,0.0
2020-07-28,92.484,92.98,91.73,91.835,3822600,0.0,0.0
2020-07-29,91.988,93.056,91.864,92.503,6872400,0.0,0.0
2020-07-30,92.026,92.751,91.387,92.36,4018400,0.0,0.0
2020-07-31,92.427,93.152,91.864,93.113,5509900,0.0,0.0
2020-08-03,93.514,94.716,93.314,93.8,5472700,0.0,0.0
2020-08-04,93.285,93.438,92.102,92.846,7539300,0.0,0.0
2020-08-05,92.646,96.586,92.608,96.29,7217500,0.0,0.0
2020-08-06,96.004,96.519,95.422,95.823,4060900,0.0,0.0
2020-08-07,96.347,97.215,95.288,97.168,5545600,0.0,0.0
2020-08-10,97.75,101.909,97.683,100.554,12678000,0.0,0.0
2020-08-11,101.928,102.386,100.029,100.278,5400700,0.0,0.0
